n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,19.7578,7.63925,16,18,18.5,19.25,98
2000,19.3516,1.81242,16,18,19,21,25
4000,24.0234,13.0622,19,21,22,24,153
8000,24.3906,19.7254,20,21,22,24,244
16000,20.4062,2.97876,19,20,20,21,52
32000,20.7031,4.02426,17,19,20,21,52
64000,22.7109,10.7397,17,20,22,24,140
128000,17.7188,2.55317,13,16,18,19,32
256000,18.0469,10.643,12,15,17,19,133
512000,16.3516,8.37092,13,15,15,17,109
