n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,102.828,42.7837,73,84,97,104,373
2000,108.703,44.9206,75,94,100.5,105,393
4000,103.906,32.7175,88,94,98,103,425
8000,109.133,43.2474,76,85,100,112,468
16000,89.0156,30.5782,58,72,82,91,314
32000,51.8438,16.6447,45,48,50,52,230
64000,86.3516,24.4375,68,74,79.5,95,309
128000,74.2266,25.7579,55,60,64,83,243
256000,75.2812,41.7825,55,59,63,78,439
512000,120.109,416.498,55,62.75,67,78.5,4768
