n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,55.5625,9.64222,46,49.75,52,61,133
2000,62.1328,32.7999,52,54,55,56.25,330
4000,60.0625,12.5175,48,54,57.5,61.25,163
8000,94.6953,390.178,43,53,59,65,4471
16000,62.2578,11.5549,43,52,63,70.25,108
32000,84.9766,88.1685,52,63,79,85,1053
64000,93.5078,30.2933,56,73,86,106.25,247
128000,141.703,93.5922,70,101.75,118,147.25,1005
256000,189.891,104.353,81,119.5,155,239.25,819
512000,211.492,90.7683,92,157,183.5,232.5,656
